71179,65
66984,68
76383,84
68820,82
69241,76
72647,95
77103,67
74839,92
66871,86
52915,100
69092,74
54579,90
69388,74
55606,90
77331,96
73616,67
56339,69
57305,72
64209,66
74401,68
62138,69
55034,84
60583,100
52702,91
52287,62
56183,86
60169,92
73160,70
61242,65
67306,73
60199,79
64054,96
52624,84
60732,86
58374,63
79297,76
52003,81
54691,80
57797,61
66327,99
55410,96
73245,87
64096,80
67533,95
51421,64
67771,66
66131,100
56569,84
77107,87
61232,69
60464,60
67766,60
74501,85
59668,81
65167,87
54863,89
52325,78
77831,90
63919,65
69582,62
66060,100
56074,65
65505,65
71194,66
53412,91
66815,97
74351,97
71105,82
51559,94
63483,75
57966,79
77347,61
51167,100
73246,83
60191,73
74750,97
62558,62
75125,86
54979,82
66631,65
69294,63
53131,67
71142,98
50071,63
63609,85
72763,96
50949,100
65892,60
67715,84
64482,60
72906,77
66259,78
50277,68
52583,77
52843,71
59106,66
60792,76
53821,76
68908,94
71086,84
